block,censuscode,district,dt_cen_cd,st_cen_cd,st_nm,bl_cen_cd
Dinara,234,Rohtas,32,10,Bihar,446
Dawath,234,Rohtas,32,10,Bihar,447
Suryapura,234,Rohtas,32,10,Bihar,448
Bikramganj,234,Rohtas,32,10,Bihar,449
Karakat,234,Rohtas,32,10,Bihar,450
Nasriganj,234,Rohtas,32,10,Bihar,451
Rajpur,234,Rohtas,32,10,Bihar,452
Sanjhauli,234,Rohtas,32,10,Bihar,453
Nokha,234,Rohtas,32,10,Bihar,454
Kargahar,234,Rohtas,32,10,Bihar,455
Chenari,234,Rohtas,32,10,Bihar,456
Nauhatta,234,Rohtas,32,10,Bihar,457
Sheosagar,234,Rohtas,32,10,Bihar,458
Sasaram,234,Rohtas,32,10,Bihar,459
Akorhi Gola,234,Rohtas,32,10,Bihar,460
Dehri,234,Rohtas,32,10,Bihar,461
Tilouthu,234,Rohtas,32,10,Bihar,462
Rohtas,234,Rohtas,32,10,Bihar,463
Daudnagar,235,Aurangabad,33,10,Bihar,464
Haspura,235,Aurangabad,33,10,Bihar,465
Goh,235,Aurangabad,33,10,Bihar,466
Rafiganj,235,Aurangabad,33,10,Bihar,467
Obra,235,Aurangabad,33,10,Bihar,468
Aurangabad,235,Aurangabad,33,10,Bihar,469
Barun,235,Aurangabad,33,10,Bihar,470
Nabinagar,235,Aurangabad,33,10,Bihar,471
Kutumba,235,Aurangabad,33,10,Bihar,472
Deo,235,Aurangabad,33,10,Bihar,473
Madanpur,235,Aurangabad,33,10,Bihar,474
Konch,236,Gaya,34,10,Bihar,475
Tikari,236,Gaya,34,10,Bihar,476
Belaganj,236,Gaya,34,10,Bihar,477
Khizirsarai,236,Gaya,34,10,Bihar,478
Neem Chak Bathani,236,Gaya,34,10,Bihar,479
Muhra,236,Gaya,34,10,Bihar,480
Atri,236,Gaya,34,10,Bihar,481
Manpur,236,Gaya,34,10,Bihar,482
Gaya Town,236,Gaya,34,10,Bihar,483
Paraiya,236,Gaya,34,10,Bihar,484
Guraru,236,Gaya,34,10,Bihar,485
Gurua,236,Gaya,34,10,Bihar,486
Amas,236,Gaya,34,10,Bihar,487
Banke Bazar,236,Gaya,34,10,Bihar,488
Imamganj,236,Gaya,34,10,Bihar,489
Dumaria,236,Gaya,34,10,Bihar,490
Sherghati,236,Gaya,34,10,Bihar,491
Dobhi,236,Gaya,34,10,Bihar,492
Bodh Gaya,236,Gaya,34,10,Bihar,493
Tan Kuppa,236,Gaya,34,10,Bihar,494
Wazirganj,236,Gaya,34,10,Bihar,495
Fatehpur,236,Gaya,34,10,Bihar,496
Mohanpur,236,Gaya,34,10,Bihar,497
Barachatti,236,Gaya,34,10,Bihar,498
Nardiganj,237,Nawada,35,10,Bihar,499
Nawada,237,Nawada,35,10,Bihar,500
Warisaliganj,237,Nawada,35,10,Bihar,501
Kashi Chak,237,Nawada,35,10,Bihar,502
Pakribarawan,237,Nawada,35,10,Bihar,503
Kawakol,237,Nawada,35,10,Bihar,504
Roh,237,Nawada,35,10,Bihar,505
Gobindpur,237,Nawada,35,10,Bihar,506
Akbarpur,237,Nawada,35,10,Bihar,507
Hisua,237,Nawada,35,10,Bihar,508
Narhat,237,Nawada,35,10,Bihar,509
